_alpha_;Precision;Recall;Specificity;F1;F2;STD Precision;STD Recall;STD Specificity;STD F1;STD F2
1;0.769997;0.875687;0.908309;0.816686;0.850075;0.0850297;0.0417854;0.0289904;0.059366;0.0427252
2;0.816816;0.832845;0.934551;0.821616;0.827302;0.0842727;0.0582997;0.0285229;0.0590718;0.0517706
3;0.840162;0.813008;0.945619;0.822317;0.815539;0.0874523;0.0728675;0.0288333;0.0621133;0.0620305
4;0.880151;0.936826;0.955496;0.905719;0.923567;0.0579042;0.0532483;0.0182635;0.0424663;0.0441751
5;0.887199;0.965379;0.957086;0.923549;0.947853;0.051648;0.0289605;0.0166397;0.0337314;0.0263589
6;0.8923;0.973092;0.958847;0.929943;0.955039;0.0507389;0.0235012;0.0165729;0.0321464;0.0226011
7;0.896542;0.975668;0.960441;0.933562;0.958096;0.0486796;0.0188816;0.0162989;0.0305478;0.0197138
8;0.89904;0.977282;0.961612;0.935717;0.959957;0.0481406;0.016057;0.015757;0.029947;0.0182017
9;0.8923;0.973092;0.958847;0.929943;0.955039;0.0472745;0.017796;0.0153698;0.0295017;0.0188771
10;0.887199;0.965379;0.957086;0.923549;0.947853;0.0473544;0.016345;0.015231;0.0294572;0.0181756