_t_;Precision;Recall;Specificity;F1;F2;STD Precision;STD Recall;STD Specificity;STD F1;STD F2
-4;0.287706;0.995105;0.111585;0.443844;0.661679;0.0522939;0.00526832;0.0108184;0.0620466;0.056512
-2;0.350967;0.993982;0.339815;0.516075;0.722617;0.0577885;0.00631487;0.0112979;0.0627635;0.0509204
0;0.5292;0.992787;0.686098;0.688026;0.841898;0.0641953;0.0077834;0.0149278;0.0558887;0.0353576
2;0.731757;0.982124;0.873446;0.837237;0.917966;0.058969;0.0108748;0.016594;0.041242;0.0224893
4;0.850535;0.980305;0.939808;0.909885;0.950548;0.0515609;0.0126905;0.0161792;0.0327449;0.018083
6;0.897098;0.978171;0.960923;0.935083;0.960209;0.0481944;0.0149952;0.0153986;0.0299084;0.0177716
8;0.917477;0.975758;0.969528;0.944973;0.962972;0.0461999;0.0175257;0.0146385;0.0286807;0.0185939
10;0.930007;0.973004;0.974666;0.950293;0.963569;0.0445692;0.0203053;0.0139491;0.0279592;0.0199355
12;0.939431;0.969899;0.978448;0.953698;0.963138;0.0432452;0.0231524;0.013379;0.0276149;0.0215961
14;0.947201;0.966362;0.981499;0.95595;0.961957;0.0421191;0.026032;0.0129155;0.0275459;0.0234606
16;0.953677;0.962305;0.984011;0.957212;0.960048;0.0411236;0.0289156;0.0124969;0.0276832;0.0254612
18;0.959263;0.957605;0.986154;0.957639;0.957402;0.0402919;0.031779;0.0121364;0.0280466;0.0275668
20;0.964018;0.952031;0.987957;0.95715;0.953851;0.0394995;0.034693;0.0117902;0.02859;0.0298048
22;0.968091;0.94533;0.989488;0.955687;0.949219;0.0387566;0.0375972;0.0114573;0.029291;0.0321063
24;0.97138;0.937796;0.990715;0.953346;0.94372;0.0380873;0.0404152;0.0111539;0.0301194;0.0343999
26;0.974138;0.929674;0.991738;0.950378;0.937604;0.0374511;0.0430476;0.0108556;0.0310083;0.0365949
28;0.976411;0.921269;0.992574;0.946965;0.931128;0.0368898;0.0454803;0.0105801;0.0319588;0.0386779
30;0.978324;0.912811;0.993275;0.943292;0.924505;0.036394;0.047764;0.010334;0.0329594;0.040673
32;0.979968;0.904073;0.993873;0.939279;0.917567;0.0358829;0.0499556;0.0100819;0.0339977;0.0426211
34;0.981367;0.895012;0.994384;0.934916;0.910283;0.0354035;0.0521084;0.00983672;0.0351254;0.0445749
36;0.982672;0.885605;0.994848;0.930253;0.902656;0.0348668;0.0541507;0.00958403;0.0362271;0.046443
38;0.983822;0.876067;0.995259;0.925381;0.894856;0.034367;0.0560834;0.00933934;0.0373922;0.0482649
40;0.984836;0.866267;0.99562;0.920232;0.886775;0.0338528;0.0579463;0.00908433;0.0385723;0.0500458
42;0.98577;0.856353;0.99595;0.914911;0.878546;0.0333321;0.0597091;0.00883465;0.0397618;0.0517595
44;0.986632;0.84652;0.996252;0.909536;0.870334;0.0328894;0.0613337;0.00861161;0.0409751;0.053387
46;0.987411;0.836536;0.996522;0.903964;0.861942;0.032408;0.0629541;0.00837446;0.0422304;0.0550275
48;0.988149;0.82603;0.996777;0.897993;0.853058;0.0319011;0.0644864;0.00812705;0.0434927;0.0566139
50;0.988818;0.815077;0.997008;0.891643;0.843736;0.0313831;0.0658859;0.00788077;0.044712;0.0580945
52;0.98943;0.804614;0.997215;0.885481;0.834782;0.0309162;0.0671856;0.0076565;0.0459168;0.0594978
54;0.989977;0.793915;0.997401;0.879063;0.825571;0.0305017;0.0684275;0.00745154;0.0471263;0.0608583
56;0.990502;0.783391;0.997575;0.872656;0.816462;0.0300451;0.0696734;0.00724718;0.0483677;0.0622286
58;0.990968;0.772367;0.99773;0.865822;0.806863;0.0296337;0.0708384;0.00705692;0.0496065;0.0635433
60;0.991401;0.761348;0.997873;0.858886;0.797217;0.0292744;0.0719511;0.00688445;0.0508627;0.0648253