_tm_;Precision;Recall;Specificity;F1;F2;STD Precision;STD Recall;STD Specificity;STD F1;STD F2
-4;0.296372;0.978581;0.16278;0.452446;0.664931;0.0525666;0.00785157;0.0168069;0.0611545;0.0543509
-2;0.718514;0.977701;0.864521;0.826898;0.910645;0.0586202;0.00849351;0.0218225;0.0414161;0.0223319
0;0.878514;0.976686;0.952326;0.924107;0.95465;0.0514273;0.00907734;0.0185251;0.0318888;0.0162896
2;0.893694;0.975411;0.959154;0.931951;0.95728;0.0490583;0.0100892;0.0170168;0.0300631;0.0156648
4;0.90367;0.973976;0.963527;0.936736;0.958479;0.0472617;0.0117405;0.015991;0.0287398;0.0155906
6;0.911018;0.972281;0.966682;0.93992;0.958838;0.0454894;0.013787;0.0150932;0.0276397;0.0160088
8;0.917875;0.970341;0.969577;0.94266;0.95885;0.0440417;0.0161632;0.0143939;0.026769;0.0168059
10;0.92426;0.968018;0.972247;0.944911;0.958419;0.0430143;0.0190352;0.0138666;0.026425;0.0183277
12;0.930213;0.965509;0.974722;0.946799;0.957718;0.0421876;0.0217902;0.013414;0.0262782;0.0199888
14;0.936122;0.96218;0.977136;0.948204;0.956317;0.041525;0.0254151;0.0130589;0.0265469;0.0224521
16;0.941127;0.958746;0.979157;0.949053;0.954619;0.0407793;0.0283538;0.0126757;0.0267186;0.0245036
18;0.945837;0.954828;0.981013;0.949465;0.952444;0.0400279;0.0313281;0.0123365;0.0270157;0.0266553
20;0.950173;0.949802;0.982727;0.949089;0.949278;0.039457;0.0342221;0.0120645;0.027539;0.0288485
22;0.954005;0.943755;0.98425;0.947895;0.94516;0.0388911;0.0372644;0.011753;0.028307;0.0312815
24;0.957363;0.9371;0.985569;0.946089;0.940419;0.0382606;0.0406864;0.0114128;0.0294287;0.0341306
26;0.960213;0.930035;0.986688;0.943779;0.935218;0.03779;0.0432885;0.0111725;0.0303342;0.0363056
28;0.962902;0.922541;0.987733;0.941108;0.929604;0.037142;0.0462218;0.0108578;0.031549;0.0388545
30;0.965235;0.915174;0.988636;0.938277;0.923991;0.0365714;0.048846;0.0105869;0.0326858;0.041139
32;0.967331;0.907323;0.989453;0.935023;0.917908;0.0361574;0.0512676;0.0103538;0.033915;0.0433171
34;0.969325;0.899346;0.990208;0.931592;0.911667;0.0355905;0.0536891;0.0100903;0.0351834;0.0455189
36;0.971326;0.890658;0.990964;0.927728;0.904812;0.0348882;0.0559986;0.00976808;0.0365267;0.0476935
38;0.972963;0.881806;0.991592;0.923539;0.897716;0.0345205;0.0580965;0.0095632;0.0379233;0.0497067
40;0.974569;0.873125;0.992192;0.919382;0.890731;0.0338817;0.0599047;0.00924718;0.0391195;0.0514792
42;0.976019;0.863945;0.992735;0.9148;0.883257;0.0334717;0.0617387;0.00903853;0.0404642;0.0532921
44;0.977451;0.854805;0.993264;0.910184;0.875787;0.0329882;0.0632165;0.00878472;0.0416039;0.0547998
46;0.978733;0.84522;0.99374;0.905182;0.867882;0.0324436;0.0646133;0.00850607;0.042741;0.0562534
48;0.979977;0.835201;0.994189;0.89983;0.859556;0.0320209;0.0660258;0.00829315;0.0439494;0.0577279
50;0.981068;0.824753;0.994586;0.894063;0.85079;0.0314889;0.0675133;0.00805316;0.045259;0.0592974
52;0.98208;0.814845;0.994946;0.88851;0.842433;0.0310131;0.0689232;0.00784179;0.0465579;0.0607992
54;0.983014;0.804527;0.99528;0.882586;0.833662;0.030681;0.0704724;0.00766345;0.0479783;0.0624308
56;0.98399;0.794364;0.995615;0.876702;0.824995;0.0301643;0.0715997;0.00744749;0.0490957;0.0636729
58;0.984845;0.783876;0.995906;0.870477;0.81598;0.0296192;0.0728288;0.00723394;0.0503705;0.0650428
60;0.985683;0.773053;0.996196;0.863947;0.806625;0.0295615;0.0739953;0.00713838;0.0516933;0.0663737